Time,Src Port,Dst Port,Source,Destination,Protocol,Length
2016-12-21 20:57:50,49276,80,10.12.21.103,46.4.75.100,TCP,66
2016-12-21 20:57:50,80,49276,46.4.75.100,10.12.21.103,TCP,60
2016-12-21 20:57:50,49276,80,10.12.21.103,46.4.75.100,TCP,60
2016-12-21 20:57:50,49276,80,10.12.21.103,46.4.75.100,HTTP,299
2016-12-21 20:57:50,80,49276,46.4.75.100,10.12.21.103,TCP,60
2016-12-21 20:57:51,80,49276,46.4.75.100,10.12.21.103,TCP,1395
2016-12-21 20:57:51,80,49276,46.4.75.100,10.12.21.103,TCP,1395
2016-12-21 20:57:51,80,49276,46.4.75.100,10.12.21.103,TCP,1395
2016-12-21 20:57:51,80,49276,46.4.75.100,10.12.21.103,TCP,1395
2016-12-21 20:57:51,49276,80,10.12.21.103,46.4.75.100,TCP,60
2016-12-21 20:57:51,80,49276,46.4.75.100,10.12.21.103,TCP,1395
2016-12-21 20:57:51,80,49276,46.4.75.100,10.12.21.103,TCP,1514
2016-12-21 20:57:51,49276,80,10.12.21.103,46.4.75.100,TCP,60
2016-12-21 20:57:51,49276,80,10.12.21.103,46.4.75.100,TCP,60
2016-12-21 20:57:51,49276,80,10.12.21.103,46.4.75.100,TCP,60
2016-12-21 20:57:52,49302,80,10.12.21.103,195.133.201.36,TCP,66
2016-12-21 20:57:52,80,49302,195.133.201.36,10.12.21.103,TCP,60
2016-12-21 20:57:52,49302,80,10.12.21.103,195.133.201.36,TCP,60
2016-12-21 20:57:52,49302,80,10.12.21.103,195.133.201.36,HTTP,526
2016-12-21 20:57:52,80,49302,195.133.201.36,10.12.21.103,TCP,60
2016-12-21 20:57:52,80,49302,195.133.201.36,10.12.21.103,TCP,1514
2016-12-21 20:57:52,80,49302,195.133.201.36,10.12.21.103,HTTP,711
2016-12-21 20:57:52,49302,80,10.12.21.103,195.133.201.36,TCP,60
2016-12-21 20:57:53,49302,80,10.12.21.103,195.133.201.36,HTTP,595
2016-12-21 20:57:53,80,49302,195.133.201.36,10.12.21.103,TCP,60
2016-12-21 20:57:53,80,49302,195.133.201.36,10.12.21.103,TCP,1514
2016-12-21 20:57:53,80,49302,195.133.201.36,10.12.21.103,TCP,1276
2016-12-21 20:57:53,49302,80,10.12.21.103,195.133.201.36,TCP,60
2016-12-21 20:57:53,80,49302,195.133.201.36,10.12.21.103,TCP,1514
2016-12-21 20:57:53,80,49302,195.133.201.36,10.12.21.103,TCP,1276
2016-12-21 20:57:53,80,49302,195.133.201.36,10.12.21.103,TCP,1514
2016-12-21 20:57:53,80,49302,195.133.201.36,10.12.21.103,TCP,1276
2016-12-21 20:57:53,80,49302,195.133.201.36,10.12.21.103,TCP,211
2016-12-21 20:57:53,80,49302,195.133.201.36,10.12.21.103,TCP,1395
2016-12-21 20:57:53,49302,80,10.12.21.103,195.133.201.36,TCP,60
2016-12-21 20:57:53,80,49302,195.133.201.36,10.12.21.103,TCP,1514
2016-12-21 20:57:53,80,49302,195.133.201.36,10.12.21.103,TCP,1276
2016-12-21 20:57:53,49302,80,10.12.21.103,195.133.201.36,TCP,60
2016-12-21 20:57:54,80,49302,195.133.201.36,10.12.21.103,TCP,1514
2016-12-21 20:57:54,80,49302,195.133.201.36,10.12.21.103,TCP,1514
2016-12-21 20:57:54,80,49302,195.133.201.36,10.12.21.103,TCP,1514
2016-12-21 20:57:54,80,49302,195.133.201.36,10.12.21.103,TCP,1038
2016-12-21 20:57:54,49302,80,10.12.21.103,195.133.201.36,TCP,60
2016-12-21 20:57:54,80,49302,195.133.201.36,10.12.21.103,TCP,1395
2016-12-21 20:57:54,80,49302,195.133.201.36,10.12.21.103,TCP,1395
2016-12-21 20:57:54,49302,80,10.12.21.103,195.133.201.36,TCP,60
2016-12-21 20:57:54,80,49302,195.133.201.36,10.12.21.103,TCP,1395
2016-12-21 20:57:54,80,49302,195.133.201.36,10.12.21.103,TCP,1395
2016-12-21 20:57:54,49302,80,10.12.21.103,195.133.201.36,TCP,60
2016-12-21 20:57:54,80,49302,195.133.201.36,10.12.21.103,TCP,1395
2016-12-21 20:57:54,80,49302,195.133.201.36,10.12.21.103,TCP,1395
2016-12-21 20:57:54,49302,80,10.12.21.103,195.133.201.36,TCP,60
2016-12-21 20:57:54,80,49302,195.133.201.36,10.12.21.103,TCP,1395
2016-12-21 20:57:54,49302,80,10.12.21.103,195.133.201.36,TCP,60
2016-12-21 20:57:54,80,49302,195.133.201.36,10.12.21.103,TCP,1395
2016-12-21 20:57:54,49302,80,10.12.21.103,195.133.201.36,TCP,60
2016-12-21 20:57:54,80,49302,195.133.201.36,10.12.21.103,TCP,1514
2016-12-21 20:57:54,80,49302,195.133.201.36,10.12.21.103,TCP,1276
2016-12-21 20:57:54,49302,80,10.12.21.103,195.133.201.36,TCP,60
2016-12-21 20:57:54,80,49302,195.133.201.36,10.12.21.103,TCP,1395
2016-12-21 20:57:54,80,49302,195.133.201.36,10.12.21.103,TCP,1395
2016-12-21 20:57:54,49302,80,10.12.21.103,195.133.201.36,TCP,60
2016-12-21 20:57:54,80,49302,195.133.201.36,10.12.21.103,TCP,1514
2016-12-21 20:57:54,80,49302,195.133.201.36,10.12.21.103,TCP,1276
2016-12-21 20:57:54,80,49302,195.133.201.36,10.12.21.103,TCP,1395
2016-12-21 20:57:54,49302,80,10.12.21.103,195.133.201.36,TCP,60
2016-12-21 20:57:54,49302,80,10.12.21.103,195.133.201.36,TCP,60
2016-12-21 20:57:54,80,49302,195.133.201.36,10.12.21.103,TCP,1395
2016-12-21 20:57:54,49302,80,10.12.21.103,195.133.201.36,TCP,60
2016-12-21 20:57:54,49302,80,10.12.21.103,195.133.201.36,TCP,60
2016-12-21 20:57:54,80,49302,195.133.201.36,10.12.21.103,TCP,1514
2016-12-21 20:57:54,80,49302,195.133.201.36,10.12.21.103,TCP,1276
2016-12-21 20:57:54,80,49302,195.133.201.36,10.12.21.103,TCP,1514
2016-12-21 20:57:54,80,49302,195.133.201.36,10.12.21.103,TCP,1276
2016-12-21 20:57:54,49302,80,10.12.21.103,195.133.201.36,TCP,60
2016-12-21 20:57:54,49302,80,10.12.21.103,195.133.201.36,TCP,60
2016-12-21 20:57:54,80,49302,195.133.201.36,10.12.21.103,TCP,1514
2016-12-21 20:57:54,80,49302,195.133.201.36,10.12.21.103,TCP,1276
2016-12-21 20:57:54,49302,80,10.12.21.103,195.133.201.36,TCP,60
2016-12-21 20:57:54,80,49302,195.133.201.36,10.12.21.103,TCP,1395
2016-12-21 20:57:54,80,49302,195.133.201.36,10.12.21.103,TCP,1514
2016-12-21 20:57:54,49302,80,10.12.21.103,195.133.201.36,TCP,60
2016-12-21 20:57:54,80,49302,195.133.201.36,10.12.21.103,HTTP,1057
2016-12-21 20:57:54,49302,80,10.12.21.103,195.133.201.36,TCP,60
2016-12-21 20:57:54,49302,80,10.12.21.103,195.133.201.36,TCP,60
2016-12-21 20:57:54,80,49302,195.133.201.36,10.12.21.103,TCP,60
2016-12-21 20:57:54,80,49302,195.133.201.36,10.12.21.103,TCP,60
2016-12-21 20:57:54,49302,80,10.12.21.103,195.133.201.36,TCP,60
2016-12-21 20:57:54,49315,80,10.12.21.103,195.133.201.36,TCP,66
2016-12-21 20:57:54,80,49315,195.133.201.36,10.12.21.103,TCP,60
2016-12-21 20:57:54,49315,80,10.12.21.103,195.133.201.36,TCP,60
2016-12-21 20:57:54,49315,80,10.12.21.103,195.133.201.36,HTTP,698
2016-12-21 20:57:54,80,49315,195.133.201.36,10.12.21.103,TCP,60
2016-12-21 20:57:55,80,49315,195.133.201.36,10.12.21.103,TCP,1514
2016-12-21 20:57:55,80,49315,195.133.201.36,10.12.21.103,TCP,1514
2016-12-21 20:57:55,80,49315,195.133.201.36,10.12.21.103,TCP,1514
2016-12-21 20:57:55,80,49315,195.133.201.36,10.12.21.103,TCP,1038
2016-12-21 20:57:55,80,49315,195.133.201.36,10.12.21.103,TCP,1395
2016-12-21 20:57:55,49315,80,10.12.21.103,195.133.201.36,TCP,60
2016-12-21 20:57:55,49315,80,10.12.21.103,195.133.201.36,TCP,60
2016-12-21 20:57:55,80,49315,195.133.201.36,10.12.21.103,TCP,1514
2016-12-21 20:57:55,80,49315,195.133.201.36,10.12.21.103,TCP,1514
2016-12-21 20:57:55,80,49315,195.133.201.36,10.12.21.103,TCP,1157
2016-12-21 20:57:55,49315,80,10.12.21.103,195.133.201.36,TCP,60
2016-12-21 20:57:55,80,49315,195.133.201.36,10.12.21.103,TCP,1514
2016-12-21 20:57:55,80,49315,195.133.201.36,10.12.21.103,TCP,1276
2016-12-21 20:57:55,49315,80,10.12.21.103,195.133.201.36,TCP,60
2016-12-21 20:57:55,49315,80,10.12.21.103,195.133.201.36,TCP,60
2016-12-21 20:57:55,80,49315,195.133.201.36,10.12.21.103,HTTP,901
2016-12-21 20:57:55,49315,80,10.12.21.103,195.133.201.36,TCP,60
2016-12-21 20:57:57,49317,80,10.12.21.103,195.133.201.36,TCP,66
2016-12-21 20:57:58,80,49317,195.133.201.36,10.12.21.103,TCP,60
2016-12-21 20:57:58,49317,80,10.12.21.103,195.133.201.36,TCP,60
2016-12-21 20:57:58,49317,80,10.12.21.103,195.133.201.36,HTTP,521
2016-12-21 20:57:58,80,49317,195.133.201.36,10.12.21.103,TCP,60
2016-12-21 20:57:59,80,49317,195.133.201.36,10.12.21.103,TCP,1395
2016-12-21 20:57:59,80,49317,195.133.201.36,10.12.21.103,TCP,1395
2016-12-21 20:57:59,80,49317,195.133.201.36,10.12.21.103,TCP,1514
2016-12-21 20:57:59,80,49317,195.133.201.36,10.12.21.103,TCP,1276
2016-12-21 20:57:59,80,49317,195.133.201.36,10.12.21.103,TCP,1395
2016-12-21 20:57:59,49317,80,10.12.21.103,195.133.201.36,TCP,60
2016-12-21 20:57:59,80,49317,195.133.201.36,10.12.21.103,TCP,1514
2016-12-21 20:57:59,80,49317,195.133.201.36,10.12.21.103,TCP,92
2016-12-21 20:57:59,80,49317,195.133.201.36,10.12.21.103,TCP,1395
2016-12-21 20:57:59,49317,80,10.12.21.103,195.133.201.36,TCP,60
2016-12-21 20:57:59,80,49317,195.133.201.36,10.12.21.103,TCP,1514
2016-12-21 20:57:59,80,49317,195.133.201.36,10.12.21.103,TCP,1276
2016-12-21 20:57:59,49317,80,10.12.21.103,195.133.201.36,TCP,60
2016-12-21 20:57:59,49317,80,10.12.21.103,195.133.201.36,TCP,60
2016-12-21 20:57:59,80,49317,195.133.201.36,10.12.21.103,TCP,1514
2016-12-21 20:57:59,80,49317,195.133.201.36,10.12.21.103,TCP,1276
2016-12-21 20:57:59,80,49317,195.133.201.36,10.12.21.103,TCP,1395
2016-12-21 20:57:59,80,49317,195.133.201.36,10.12.21.103,TCP,1514
2016-12-21 20:57:59,80,49317,195.133.201.36,10.12.21.103,TCP,1276
2016-12-21 20:57:59,80,49317,195.133.201.36,10.12.21.103,TCP,1514
2016-12-21 20:57:59,49317,80,10.12.21.103,195.133.201.36,TCP,60
2016-12-21 20:57:59,80,49317,195.133.201.36,10.12.21.103,TCP,1276
2016-12-21 20:57:59,80,49317,195.133.201.36,10.12.21.103,TCP,1395
2016-12-21 20:57:59,49317,80,10.12.21.103,195.133.201.36,TCP,60
2016-12-21 20:57:59,80,49317,195.133.201.36,10.12.21.103,TCP,1514
2016-12-21 20:57:59,80,49317,195.133.201.36,10.12.21.103,TCP,1276
2016-12-21 20:57:59,49317,80,10.12.21.103,195.133.201.36,TCP,60
2016-12-21 20:57:59,80,49317,195.133.201.36,10.12.21.103,TCP,1395
2016-12-21 20:57:59,80,49317,195.133.201.36,10.12.21.103,TCP,1395
2016-12-21 20:57:59,80,49317,195.133.201.36,10.12.21.103,TCP,1395
2016-12-21 20:57:59,49317,80,10.12.21.103,195.133.201.36,TCP,60
2016-12-21 20:57:59,80,49317,195.133.201.36,10.12.21.103,TCP,1395
2016-12-21 20:57:59,80,49317,195.133.201.36,10.12.21.103,TCP,1514
2016-12-21 20:57:59,80,49317,195.133.201.36,10.12.21.103,TCP,1276
2016-12-21 20:57:59,49317,80,10.12.21.103,195.133.201.36,TCP,60
2016-12-21 20:57:59,80,49317,195.133.201.36,10.12.21.103,TCP,1514
2016-12-21 20:57:59,80,49317,195.133.201.36,10.12.21.103,TCP,1276
2016-12-21 20:57:59,80,49317,195.133.201.36,10.12.21.103,TCP,1395
2016-12-21 20:57:59,49317,80,10.12.21.103,195.133.201.36,TCP,60
2016-12-21 20:57:59,80,49317,195.133.201.36,10.12.21.103,TCP,1395
2016-12-21 20:57:59,80,49317,195.133.201.36,10.12.21.103,TCP,1395
2016-12-21 20:57:59,49317,80,10.12.21.103,195.133.201.36,TCP,60
2016-12-21 20:57:59,80,49317,195.133.201.36,10.12.21.103,TCP,1395
2016-12-21 20:57:59,80,49317,195.133.201.36,10.12.21.103,TCP,1395
2016-12-21 20:57:59,80,49317,195.133.201.36,10.12.21.103,TCP,1395
2016-12-21 20:57:59,49317,80,10.12.21.103,195.133.201.36,TCP,60
2016-12-21 20:57:59,80,49317,195.133.201.36,10.12.21.103,TCP,1514
2016-12-21 20:57:59,80,49317,195.133.201.36,10.12.21.103,TCP,1514
2016-12-21 20:57:59,80,49317,195.133.201.36,10.12.21.103,TCP,1514
2016-12-21 20:57:59,80,49317,195.133.201.36,10.12.21.103,TCP,1514
2016-12-21 20:57:59,80,49317,195.133.201.36,10.12.21.103,TCP,919
2016-12-21 20:57:59,80,49317,195.133.201.36,10.12.21.103,TCP,1395
2016-12-21 20:57:59,49317,80,10.12.21.103,195.133.201.36,TCP,60
2016-12-21 20:57:59,80,49317,195.133.201.36,10.12.21.103,TCP,1395
2016-12-21 20:57:59,80,49317,195.133.201.36,10.12.21.103,TCP,1514
2016-12-21 20:57:59,80,49317,195.133.201.36,10.12.21.103,TCP,1276
2016-12-21 20:57:59,49317,80,10.12.21.103,195.133.201.36,TCP,60
2016-12-21 20:57:59,80,49317,195.133.201.36,10.12.21.103,TCP,1395
2016-12-21 20:57:59,80,49317,195.133.201.36,10.12.21.103,TCP,1514
2016-12-21 20:57:59,80,49317,195.133.201.36,10.12.21.103,TCP,1276
2016-12-21 20:57:59,49317,80,10.12.21.103,195.133.201.36,TCP,60
2016-12-21 20:57:59,80,49317,195.133.201.36,10.12.21.103,TCP,1514
2016-12-21 20:57:59,80,49317,195.133.201.36,10.12.21.103,TCP,1514
2016-12-21 20:57:59,80,49317,195.133.201.36,10.12.21.103,TCP,1157
2016-12-21 20:57:59,49317,80,10.12.21.103,195.133.201.36,TCP,60
2016-12-21 20:57:59,80,49317,195.133.201.36,10.12.21.103,TCP,1395
2016-12-21 20:57:59,80,49317,195.133.201.36,10.12.21.103,TCP,1514
2016-12-21 20:57:59,80,49317,195.133.201.36,10.12.21.103,TCP,1276
2016-12-21 20:57:59,49317,80,10.12.21.103,195.133.201.36,TCP,60
2016-12-21 20:57:59,80,49317,195.133.201.36,10.12.21.103,TCP,1395
2016-12-21 20:57:59,80,49317,195.133.201.36,10.12.21.103,TCP,1395
2016-12-21 20:57:59,80,49317,195.133.201.36,10.12.21.103,TCP,1514
2016-12-21 20:57:59,80,49317,195.133.201.36,10.12.21.103,TCP,1276
2016-12-21 20:57:59,49317,80,10.12.21.103,195.133.201.36,TCP,60
2016-12-21 20:57:59,80,49317,195.133.201.36,10.12.21.103,TCP,1514
2016-12-21 20:57:59,80,49317,195.133.201.36,10.12.21.103,TCP,1276
2016-12-21 20:57:59,49317,80,10.12.21.103,195.133.201.36,TCP,60
2016-12-21 20:57:59,80,49317,195.133.201.36,10.12.21.103,TCP,1395
2016-12-21 20:57:59,80,49317,195.133.201.36,10.12.21.103,TCP,1395
2016-12-21 20:57:59,49317,80,10.12.21.103,195.133.201.36,TCP,60
2016-12-21 20:57:59,80,49317,195.133.201.36,10.12.21.103,TCP,1395
2016-12-21 20:57:59,80,49317,195.133.201.36,10.12.21.103,TCP,1395
2016-12-21 20:57:59,49317,80,10.12.21.103,195.133.201.36,TCP,60
2016-12-21 20:57:59,80,49317,195.133.201.36,10.12.21.103,TCP,1395
2016-12-21 20:57:59,80,49317,195.133.201.36,10.12.21.103,TCP,1395
2016-12-21 20:57:59,80,49317,195.133.201.36,10.12.21.103,TCP,1395
2016-12-21 20:57:59,49317,80,10.12.21.103,195.133.201.36,TCP,60
2016-12-21 20:57:59,80,49317,195.133.201.36,10.12.21.103,TCP,1395
2016-12-21 20:57:59,80,49317,195.133.201.36,10.12.21.103,TCP,1395
2016-12-21 20:57:59,49317,80,10.12.21.103,195.133.201.36,TCP,60
2016-12-21 20:57:59,80,49317,195.133.201.36,10.12.21.103,TCP,1395
2016-12-21 20:57:59,80,49317,195.133.201.36,10.12.21.103,TCP,1395
2016-12-21 20:57:59,49317,80,10.12.21.103,195.133.201.36,TCP,60
2016-12-21 20:58:00,80,49317,195.133.201.36,10.12.21.103,TCP,1395
2016-12-21 20:58:00,80,49317,195.133.201.36,10.12.21.103,TCP,1395
2016-12-21 20:58:00,49317,80,10.12.21.103,195.133.201.36,TCP,60
2016-12-21 20:58:00,80,49317,195.133.201.36,10.12.21.103,TCP,1514
2016-12-21 20:58:00,80,49317,195.133.201.36,10.12.21.103,TCP,1276
2016-12-21 20:58:00,49317,80,10.12.21.103,195.133.201.36,TCP,60
2016-12-21 20:58:00,80,49317,195.133.201.36,10.12.21.103,TCP,1395
2016-12-21 20:58:00,80,49317,195.133.201.36,10.12.21.103,TCP,1514
2016-12-21 20:58:00,80,49317,195.133.201.36,10.12.21.103,TCP,1514
2016-12-21 20:58:00,80,49317,195.133.201.36,10.12.21.103,TCP,1514
2016-12-21 20:58:00,80,49317,195.133.201.36,10.12.21.103,TCP,1514
2016-12-21 20:58:00,80,49317,195.133.201.36,10.12.21.103,TCP,1514
2016-12-21 20:58:00,80,49317,195.133.201.36,10.12.21.103,TCP,1514
2016-12-21 20:58:00,80,49317,195.133.201.36,10.12.21.103,TCP,681
2016-12-21 20:58:00,49317,80,10.12.21.103,195.133.201.36,TCP,60
2016-12-21 20:58:00,80,49317,195.133.201.36,10.12.21.103,TCP,1514
2016-12-21 20:58:00,80,49317,195.133.201.36,10.12.21.103,TCP,1514
2016-12-21 20:58:00,80,49317,195.133.201.36,10.12.21.103,TCP,1514
2016-12-21 20:58:00,80,49317,195.133.201.36,10.12.21.103,TCP,1038
2016-12-21 20:58:00,49317,80,10.12.21.103,195.133.201.36,TCP,60
2016-12-21 20:58:00,80,49317,195.133.201.36,10.12.21.103,TCP,1514
2016-12-21 20:58:00,80,49317,195.133.201.36,10.12.21.103,TCP,1514
2016-12-21 20:58:00,80,49317,195.133.201.36,10.12.21.103,TCP,1514
2016-12-21 20:58:00,80,49317,195.133.201.36,10.12.21.103,TCP,1038
2016-12-21 20:58:00,80,49317,195.133.201.36,10.12.21.103,TCP,1395
2016-12-21 20:58:00,80,49317,195.133.201.36,10.12.21.103,TCP,1395
2016-12-21 20:58:00,80,49317,195.133.201.36,10.12.21.103,TCP,1395
2016-12-21 20:58:00,49317,80,10.12.21.103,195.133.201.36,TCP,60
2016-12-21 20:58:00,49317,80,10.12.21.103,195.133.201.36,TCP,60
2016-12-21 20:58:00,80,49317,195.133.201.36,10.12.21.103,TCP,1514
2016-12-21 20:58:00,80,49317,195.133.201.36,10.12.21.103,TCP,1276
2016-12-21 20:58:00,80,49317,195.133.201.36,10.12.21.103,TCP,1395
2016-12-21 20:58:00,80,49317,195.133.201.36,10.12.21.103,TCP,1395
2016-12-21 20:58:00,80,49317,195.133.201.36,10.12.21.103,TCP,1395
2016-12-21 20:58:00,49317,80,10.12.21.103,195.133.201.36,TCP,60
2016-12-21 20:58:00,80,49317,195.133.201.36,10.12.21.103,TCP,1395
2016-12-21 20:58:00,80,49317,195.133.201.36,10.12.21.103,TCP,1395
2016-12-21 20:58:00,80,49317,195.133.201.36,10.12.21.103,TCP,1514
2016-12-21 20:58:00,80,49317,195.133.201.36,10.12.21.103,TCP,1514
2016-12-21 20:58:00,80,49317,195.133.201.36,10.12.21.103,TCP,1157
